SharingUnitID,Year,financial_indegree,financial_outdegree,financial_betweenness,external_lenders_n,external_lenders_prop,fish_indegree,fish_outdegree,fish_betweenness,internal_lenders_n,n_adults,n_children,livelihoods.remittances,livelihoods.activity,MSL2.credit_access,MSL2.expenditure,livelihoods.rank.activity_fishing,livelihoods.rank.activity_gleaning,livelihoods.rank.activity_marketing_mp,livelihoods.rank.activity_salaried_employment,livelihoods.rank.activity_informal_ea,livelihoods.rank.activity_tourism,livelihoods.rank.activity_farming,livelihoods.rank.activity_remittance,livelihoods.rank.activity_other,ageHHH,fishingq.food_consumption,food_insecurity_score,leader,livelihoods.rank.activity_atoll_farming,n_credit_sources,Com_index_commercial_share,Com_index_markets,Com_index_capital,Com_index_gear,pelagic_focus_index
1,2018,0,1,0,0,0,14,7,943.7831877,0,3,6,often,fishing gleaning marketing_mp farming remittance,friends_family,250,1,3,4,NA,NA,NA,5,2,NA,47,3,4,0,NA,1,0.7,4.333333333,2,1.5,0
2,2018,1,0,0,0,0,12,17,899.3332844,1,2,4,sometimes,fishing gleaning marketing_mp informal_ea remittance,friends_family,100,1,4,2,NA,3,NA,NA,5,NA,26,2,5,0,NA,1,0.8,2,3,2.5,0.181818182
3,2018,3,5,203,0,0,4,5,51.63662714,3,9,11,sometimes,fishing gleaning marketing_mp informal_ea remittance,no,300,1,3,3,NA,1,NA,NA,4,NA,53,NA,1,1,NA,0,NA,0,NA,0,NA
4,2018,0,0,0,0,0,9,10,558.5507218,0,2,3,sometimes,fishing gleaning informal_ea tourism remittance,friends_family,120,1,2,NA,NA,3,2,NA,4,NA,33,2,9,1,NA,1,0.8,3.833333333,5,3.833333333,0.545454545
5,2018,1,2,19.5,0,0,7,5,192.7336581,1,4,4,often,fishing marketing_mp informal_ea tourism farming remittance other,no,500,1,NA,6,NA,2,5,7,3,4,50,4,3,1,NA,0,0.6,4.333333333,3,3.833333333,0.545454545
6,2018,1,1,0,0,0,12,13,976.8984231,1,5,4,sometimes,fishing gleaning marketing_mp tourism farming remittance,friends_family,300,1,2,3,NA,NA,4,6,5,NA,39,5,4,1,NA,1,0.5,4,2,2.75,0.24
7,2018,0,0,0,0,0,11,12,574.0576753,0,3,3,sometimes,fishing gleaning marketing_mp tourism farming remittance,friends_family,150,1,6,4,NA,NA,2,5,3,NA,48,1,4,1,NA,1,0.9,4,2,3.833333333,0.48
8,2018,0,0,0,0,0,6,9,470.2086896,0,2,3,sometimes,fishing gleaning marketing_mp informal_ea,friends_family,350,1,2,4,NA,2,NA,NA,NA,NA,33,2,4,0,NA,1,0.8,4,2,3.833333333,0.545454545
9,2018,2,0,0,1,0.5,10,11,255.1835433,1,5,1,sometimes,fishing remittance,no,200,1,NA,NA,NA,NA,NA,NA,2,NA,59,3,5,0,NA,0,0.7,4.333333333,2,4.416666667,0.48
10,2018,2,1,59,1,0.5,12,12,1177.512553,1,2,2,sometimes,fishing gleaning marketing_mp informal_ea tourism,local_store friends_family,150,1,3,5,NA,2,4,NA,NA,NA,45,NA,4,1,NA,2,NA,0,NA,0,NA
11,2018,0,0,0,0,0,10,10,649.6323731,0,5,0,sometimes,fishing gleaning marketing_mp tourism remittance,local_store,50,2,5,4,NA,NA,3,NA,1,NA,64,5,6,0,NA,1,0.5,4,3,4.333333333,0.48
12,2018,2,1,3,1,0.5,7,6,154.8004801,1,2,1,often,fishing tourism,local_store friends_family,40,1,NA,NA,NA,NA,2,NA,NA,NA,68,NA,7,1,NA,2,NA,0,NA,0,NA
13,2018,0,0,0,0,0,5,6,205.2496815,0,2,2,sometimes,fishing gleaning marketing_mp informal_ea remittance,friends_family,200,1,4,2,NA,3,NA,NA,4,NA,31,4,4,1,NA,1,0.6,4,3,3.333333333,0.24
14,2018,0,0,0,0,0,7,10,297.9546481,0,4,2,NA,fishing gleaning marketing_mp,friends_family,30,1,2,3,NA,NA,NA,NA,NA,NA,56,3,3,0,NA,1,0.7,4,2,1,0
15,2018,0,0,0,0,0,3,5,62.84620509,0,2,1,never,fishing gleaning marketing_mp informal_ea remittance,friends_family,50,1,2,3,NA,3,NA,NA,4,NA,35,2,5,0,NA,1,0.8,4,2,4.333333333,0.428571429
16,2018,1,2,2,0,0,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,0,NA,0,NA
